,team_current,team_former
joao-felix,AC Mailand,FC Chelsea
andre-silva,Werder Bremen,RB Leipzig
paulo-dybala,AS Rom,AS Rom
alvaro-morata,Galatasaray SK,AC Mailand
iago-aspas,Celta Vigo,Celta Vigo
niclas-fuellkrug,West Ham United,West Ham United
harry-kane,Bayern München,Bayern München
jamie-vardy,Leicester City,Leicester City
antoine-griezmann,Atletico Madrid,Atletico Madrid
robert-lewandowski,FC Barcelona,FC Barcelona
erling-haaland,Manchester City,Manchester City
romelu-lukaku,SSC Neapel,SSC Neapel
inaki-williams,Athletic Bilbao,Athletic Bilbao
mohamed-salah,FC Liverpool,FC Liverpool
heung-min-son,Tottenham Hotspur,Tottenham Hotspur
raul-jimenez,FC Fulham,FC Fulham
